"id","product_variant_attribute_value","product_variant_attribute_id","product_variant_id","product_id"
638,white,1,39,7
639,"130cm x 210cm (Each)",2,39,7
640,white,1,40,7
641,"130cm x 240cm (Each)",2,40,7
642,beige,1,68,7
643,"130cm x 210cm (Each)",2,68,7
644,beige,1,69,7
471,"130cm x 210cm (Each)",2,37,10
472,"130cm x 240cm (Each)",2,38,10
645,"130cm x 240cm (Each)",2,69,7
415,white,1,4,3
417,white,1,3,3
600,"130cm x 210cm (Each)",2,64,5
419,beige,1,6,3
421,beige,1,5,3
539,white,1,51,6
544,white,1,52,6
550,beige,1,53,6
557,beige,1,54,6
571,white,1,56,4
572,"130cm x 210cm (Each)",2,56,4
575,white,1,57,4
576,"130cm x 240cm (Each)",2,57,4
579,off-white,1,58,4
580,"130cm x 210cm (Each)",2,58,4
583,off-white,1,59,4
584,"130cm x 240cm (Each)",2,59,4
676,"130cm x 240cm (Each)",2,30,13
677,"130cm x 210cm (Each)",2,29,13
678,white,1,34,11
679,"130cm x 240cm (Each)",2,34,11
680,white,1,33,11
681,"130cm x 210cm (Each)",2,33,11
682,teal,1,36,11
683,"130cm x 240cm (Each)",2,36,11
684,teal,1,35,11
685,"130cm x 210cm (Each)",2,35,11
515,white,1,47,8
516,"130cm x 210cm (Each)",2,47,8
519,white,1,48,8
520,"130cm x 240cm (Each)",2,48,8
599,rod pocket,7,64,5
523,beige,1,49,8
524,"130cm x 210cm (Each)",2,49,8
527,beige,1,50,8
528,"130cm x 240cm (Each)",2,50,8
529,white,1,43,9
530,"130cm x 210cm (Each)",2,43,9
531,white,1,44,9
532,"130cm x 240cm (Each)",2,44,9
533,beige,1,45,9
534,"130cm x 210cm (Each)",2,45,9
535,beige,1,46,9
536,"130cm x 240cm (Each)",2,46,9
604,rod pocket,7,65,5
540,"130cm x 210cm (Each)",2,51,6
605,"130cm x 240cm (Each)",2,65,5
545,"130cm x 240cm (Each)",2,52,6
609,grommet,7,66,5
610,"130cm x 210cm (Each)",2,66,5
762,white,1,78,1
551,"130cm x 210cm (Each)",2,53,6
763,"130cm x 210cm (Each)",2,78,1
764,white,1,79,1
614,grommet,7,67,5
615,"130cm x 240cm (Each)",2,67,5
765,"130cm x 240cm (Each)",2,79,1
766,beige,1,80,1
558,"130cm x 240cm (Each)",2,54,6
767,"130cm x 210cm (Each)",2,80,1
768,beige,1,81,1
769,"130cm x 240cm (Each)",2,81,1
431,"130cm x 240cm (Each)",2,32,12
432,"130cm x 210cm (Each)",2,31,12
422,"130cm x 210cm (Each)",2,5,3
420,"130cm x 240cm (Each)",2,6,3
418,"130cm x 210cm (Each)",2,3,3
416,"130cm x 240cm (Each)",2,4,3
562,"130cm x 240cm (Each)",2,2,2
561,"130cm x 210cm (Each)",2,1,2
